"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"bsvxfugrwp","MullerLyer",-0.30447,3,"MullerLyer_3.00000_-0.30447.png","A",1,539570,0.714,"arrowdown","arrowdown",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.18509,-21,"MullerLyer_-21.000_-0.18509.png","A",2,541044,0.535,"arrowdown","arrowdown",0,"Congruent",0.18509,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",-0.08716,-21,"MullerLyer_-21.000_-0.08716.png","A",3,542275,0.57,"arrowdown","arrowdown",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.08716,27,"MullerLyer_27.0000_0.08716.png","A",4,543604,0.523,"arrowdown","arrowup",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.18509,27,"MullerLyer_27.0000_0.18509.png","A",5,544916,1.878,"arrowup","arrowup",0,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.45,15,"MullerLyer_15.0000_0.45000.png","A",6,547538,0.664,"arrowup","arrowup",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.45,9,"MullerLyer_9.00000_0.45000.png","A",8,551596,0.759,"arrowup","arrowup",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.08716,21,"MullerLyer_21.0000_0.08716.png","A",9,553002,0.668,"arrowdown","arrowup",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.45,3,"MullerLyer_3.00000_0.45000.png","A",10,554709,1.309,"arrowup","arrowup",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.45,27,"MullerLyer_27.0000_-0.4500.png","A",11,556652,0.796,"arrowdown","arrowdown",0,"Incongruent",0.45,"Incongruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",0.18509,9,"MullerLyer_9.00000_0.18509.png","A",12,558536,1.258,"arrowup","arrowup",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",-0.18509,-3,"MullerLyer_-3.0000_-0.18509.png","A",13,560704,0.748,"arrowdown","arrowdown",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.18509,-27,"MullerLyer_-27.000_0.18509.png","A",14,562103,1.399,"arrowup","arrowup",0,"Congruent",0.18509,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",-0.18509,-9,"MullerLyer_-9.0000_-0.18509.png","A",16,569431,0.71,"arrowdown","arrowdown",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",-0.08716,27,"MullerLyer_27.0000_-0.08716.png","A",17,570897,0.626,"arrowup","arrowdown",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",-0.45,9,"MullerLyer_9.00000_-0.4500.png","A",18,572445,0.754,"arrowdown","arrowdown",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.30447,-21,"MullerLyer_-21.000_0.30447.png","A",19,574136,1.726,"arrowup","arrowup",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",-0.45,-3,"MullerLyer_-3.0000_-0.4500.png","A",21,579821,0.598,"arrowdown","arrowdown",0,"Congruent",0.45,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.45,15,"MullerLyer_15.0000_-0.4500.png","A",22,581105,0.699,"arrowdown","arrowdown",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.45,-21,"MullerLyer_-21.000_0.45000.png","A",23,582694,0.796,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",-0.45,21,"MullerLyer_21.0000_-0.4500.png","A",24,584207,0.752,"arrowdown","arrowdown",0,"Incongruent",0.45,"Incongruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",-0.30447,15,"MullerLyer_15.0000_-0.30447.png","A",25,586013,1.382,"arrowdown","arrowdown",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.08716,-3,"MullerLyer_-3.0000_-0.08716.png","A",26,588024,0.998,"arrowdown","arrowdown",0,"Congruent",0.08716,"Congruent - Mild","Hard"
