Participant,Illusion_Type,Illusion_Difference,Illusion_Strength,File,Block,Trial,ISI,RT,Response,Response_Correct,Error
bsvxfugrwp,MullerLyer,-0.30447,3.0,MullerLyer_3.00000_-0.30447.png,A,1.0,539570.0,0.714,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.18509,-21.0,MullerLyer_-21.000_-0.18509.png,A,2.0,541044.0,0.535,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.08716,-21.0,MullerLyer_-21.000_-0.08716.png,A,3.0,542275.0,0.57,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.08716,27.0,MullerLyer_27.0000_0.08716.png,A,4.0,543604.0,0.523,arrowdown,arrowup,1
bsvxfugrwp,MullerLyer,0.18509,27.0,MullerLyer_27.0000_0.18509.png,A,5.0,544916.0,1.878,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.45,15.0,MullerLyer_15.0000_0.45000.png,A,6.0,547538.0,0.664,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.30447,27.0,MullerLyer_27.0000_-0.30447.png,A,7.0,548924.0,1.999,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.45,9.0,MullerLyer_9.00000_0.45000.png,A,8.0,551596.0,0.759,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.08716,21.0,MullerLyer_21.0000_0.08716.png,A,9.0,553002.0,0.668,arrowdown,arrowup,1
bsvxfugrwp,MullerLyer,0.45,3.0,MullerLyer_3.00000_0.45000.png,A,10.0,554709.0,1.309,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.45,27.0,MullerLyer_27.0000_-0.4500.png,A,11.0,556652.0,0.796,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.18509,9.0,MullerLyer_9.00000_0.18509.png,A,12.0,558536.0,1.258,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,-3.0,MullerLyer_-3.0000_-0.18509.png,A,13.0,560704.0,0.748,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.18509,-27.0,MullerLyer_-27.000_0.18509.png,A,14.0,562103.0,1.399,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.08716,3.0,MullerLyer_3.00000_0.08716.png,A,15.0,564414.0,4.142,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,-9.0,MullerLyer_-9.0000_-0.18509.png,A,16.0,569431.0,0.71,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.08716,27.0,MullerLyer_27.0000_-0.08716.png,A,17.0,570897.0,0.626,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.45,9.0,MullerLyer_9.00000_-0.4500.png,A,18.0,572445.0,0.754,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.30447,-21.0,MullerLyer_-21.000_0.30447.png,A,19.0,574136.0,1.726,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.08716,15.0,MullerLyer_15.0000_0.08716.png,A,20.0,576747.0,1.98,arrowdown,arrowup,1
bsvxfugrwp,MullerLyer,-0.45,-3.0,MullerLyer_-3.0000_-0.4500.png,A,21.0,579821.0,0.598,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.45,15.0,MullerLyer_15.0000_-0.4500.png,A,22.0,581105.0,0.699,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.45,-21.0,MullerLyer_-21.000_0.45000.png,A,23.0,582694.0,0.796,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.45,21.0,MullerLyer_21.0000_-0.4500.png,A,24.0,584207.0,0.752,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.30447,15.0,MullerLyer_15.0000_-0.30447.png,A,25.0,586013.0,1.382,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.08716,-3.0,MullerLyer_-3.0000_-0.08716.png,A,26.0,588024.0,0.998,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.45,-27.0,MullerLyer_-27.000_0.45000.png,A,27.0,589666.0,0.774,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,21.0,MullerLyer_21.0000_-0.18509.png,A,28.0,591344.0,1.162,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,0.18509,-15.0,MullerLyer_-15.000_0.18509.png,A,29.0,593405.0,0.536,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.08716,3.0,MullerLyer_3.00000_-0.08716.png,A,30.0,594729.0,1.133,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.30447,-3.0,MullerLyer_-3.0000_0.30447.png,A,31.0,596798.0,0.771,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.45,-27.0,MullerLyer_-27.000_-0.4500.png,A,32.0,598431.0,0.709,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.30447,-21.0,MullerLyer_-21.000_-0.30447.png,A,33.0,600080.0,0.57,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.30447,-9.0,MullerLyer_-9.0000_-0.30447.png,A,34.0,601328.0,0.853,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.45,27.0,MullerLyer_27.0000_0.45000.png,A,35.0,602821.0,0.737,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.08716,-21.0,MullerLyer_-21.000_0.08716.png,A,36.0,604397.0,0.458,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.08716,-27.0,MullerLyer_-27.000_0.08716.png,A,37.0,605567.0,0.475,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.08716,9.0,MullerLyer_9.00000_-0.08716.png,A,38.0,606988.0,2.488,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.30447,-3.0,MullerLyer_-3.0000_-0.30447.png,A,39.0,610165.0,0.645,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.08716,-9.0,MullerLyer_-9.0000_0.08716.png,A,40.0,611567.0,0.757,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.45,-21.0,MullerLyer_-21.000_-0.4500.png,A,41.0,613018.0,0.568,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.08716,-15.0,MullerLyer_-15.000_-0.08716.png,A,42.0,614652.0,0.569,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.30447,21.0,MullerLyer_21.0000_-0.30447.png,A,43.0,616088.0,1.522,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.08716,-3.0,MullerLyer_-3.0000_0.08716.png,A,44.0,618536.0,0.691,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.30447,-15.0,MullerLyer_-15.000_0.30447.png,A,45.0,620282.0,0.497,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.45,-9.0,MullerLyer_-9.0000_0.45000.png,A,46.0,621866.0,0.529,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.45,-9.0,MullerLyer_-9.0000_-0.4500.png,A,47.0,623055.0,0.701,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.45,3.0,MullerLyer_3.00000_-0.4500.png,A,48.0,624807.0,0.724,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.18509,3.0,MullerLyer_3.00000_0.18509.png,A,49.0,626601.0,2.081,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,3.0,MullerLyer_3.00000_-0.18509.png,A,50.0,629335.0,0.605,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.30447,-9.0,MullerLyer_-9.0000_0.30447.png,A,51.0,631015.0,0.724,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.18509,-21.0,MullerLyer_-21.000_0.18509.png,A,52.0,632796.0,0.49,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.30447,-15.0,MullerLyer_-15.000_-0.30447.png,A,53.0,633925.0,0.662,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.18509,9.0,MullerLyer_9.00000_-0.18509.png,A,54.0,635563.0,2.472,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.08716,-27.0,MullerLyer_-27.000_-0.08716.png,A,55.0,638690.0,0.754,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.18509,15.0,MullerLyer_15.0000_-0.18509.png,A,56.0,640249.0,2.425,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,0.30447,9.0,MullerLyer_9.00000_0.30447.png,A,57.0,643326.0,0.551,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.18509,-3.0,MullerLyer_-3.0000_0.18509.png,A,58.0,644879.0,0.528,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,27.0,MullerLyer_27.0000_-0.18509.png,A,59.0,646523.0,1.13,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.45,-15.0,MullerLyer_-15.000_-0.4500.png,A,60.0,648636.0,0.666,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.30447,3.0,MullerLyer_3.00000_0.30447.png,A,61.0,650289.0,0.673,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.18509,15.0,MullerLyer_15.0000_0.18509.png,A,62.0,651636.0,1.196,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.45,-3.0,MullerLyer_-3.0000_0.45000.png,A,63.0,653553.0,0.728,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.30447,-27.0,MullerLyer_-27.000_-0.30447.png,A,64.0,655268.0,0.75,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.08716,21.0,MullerLyer_21.0000_-0.08716.png,A,65.0,656864.0,0.638,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.30447,9.0,MullerLyer_9.00000_-0.30447.png,A,66.0,658493.0,0.66,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.45,21.0,MullerLyer_21.0000_0.45000.png,A,67.0,659881.0,0.647,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.30447,-27.0,MullerLyer_-27.000_0.30447.png,A,68.0,661530.0,0.519,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,-15.0,MullerLyer_-15.000_-0.18509.png,A,69.0,663013.0,0.739,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.18509,-27.0,MullerLyer_-27.000_-0.18509.png,A,70.0,664576.0,0.6,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.18509,21.0,MullerLyer_21.0000_0.18509.png,A,71.0,666136.0,0.895,arrowdown,arrowup,1
