Participant,Experiment_Duration,Date,Time,Browser,Mobile,Screen_Width,Screen_Height,Language,Source,Age,Gender,Country,Nationality,PID5_Duration,PID5_Order,PID5_Disinhibition_1,PID5_Disinhibition_2,PID5_Disinhibition_3,PID5_Detachment_4,PID5_Disinhibition_5,PID5_Disinhibition_6,PID5_Psychoticism_7,PID5_NegativeAffect_8,PID5_NegativeAffect_9,PID5_NegativeAffect_10,PID5_NegativeAffect_11,PID5_Psychoticism_12,PID5_Detachment_13,PID5_Detachment_14,PID5_NegativeAffect_15,PID5_Detachment_16,PID5_Antagonism_17,PID5_Detachment_18,PID5_Antagonism_19,PID5_Antagonism_20,PID5_Psychoticism_21,PID5_Antagonism_22,PID5_Psychoticism_23,PID5_Psychoticism_24,PID5_Antagonism_25,IPIP6_Duration,IPIP6_Order,IPIP6_Extraversion_1,IPIP6_Agreeableness_2,IPIP6_Conscientiousness_3,IPIP6_Neuroticism_4,IPIP6_Openness_5,IPIP6_HonestyHumility_6_R,IPIP6_Extraversion_7_R,IPIP6_Agreeableness_8_R,IPIP6_Openness_9_R,IPIP6_Conscientiousness_10,IPIP6_Conscientiousness_11_R,IPIP6_HonestyHumility_12_R,IPIP6_Openness_13_R,IPIP6_Agreeableness_14,IPIP6_Neuroticism_15_R,IPIP6_Neuroticism_16,IPIP6_Neuroticism_17_R,IPIP6_HonestyHumility_18_R,IPIP6_Extraversion_19_R,IPIP6_Agreeableness_20_R,IPIP6_Openness_21_R,IPIP6_Conscientiousness_22_R,IPIP6_Extraversion_23,IPIP6_HonestyHumility_24_R
qbb6xqvqpv,28.301283333333334,05/10/2024,11:37:58,chrome,False,1920.0,953.0,Russian,yana1,33.0,Male,Russia,Russian,4.1495500000000005,1,2,3,2,1,1,1,1,1,1,2,2,1,0,0,1,0,2,2,2,2,2,2,0,1,2,2.6661116666674616,2,0.89,0.28,0.28,0.74,1.0,0.7,0.21,0.65,0.29,0.3,0.6,0.63,0.0,0.76,0.22,0.32,0.07,0.58,0.31,0.67,0.0,0.68,0.85,0.23
23pubcvhh0,179.63683333333333,23/09/2024,15:30:39,chrome,False,1280.0,639.0,Russian,yana1,29.0,Female,Russia,Russian,1.8600833333333333,1,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0.8676933333337308,2,0.59,0.66,0.26,0.4,0.62,0.67,0.69,0.38,0.68,0.69,0.82,0.75,0.37,0.64,1.0,0.75,0.28,0.76,0.32,0.58,0.67,0.59,0.37,0.61
by5pqkey2w,27.327316666666665,23/09/2024,17:57:23,chrome,False,1920.0,919.0,Russian,yana1,27.0,Female,Russia,Russian,5.1154166666666665,1,2,2,2,1,0,0,1,1,1,1,2,1,3,0,1,1,0,0,2,1,0,2,0,0,2,1.5215633333325385,2,0.83,0.95,0.67,0.69,0.83,0.91,0.91,0.18,0.23,0.94,0.49,0.75,0.13,0.95,0.92,0.14,0.74,0.88,0.21,0.51,0.33,0.13,0.28,0.73
356t3x57kk,23.280700000000003,23/09/2024,14:35:28,safari,False,1175.0,743.0,Russian,yana1,31.0,Female,Russia,Russian,2.772466666666667,1,2,2,2,2,1,0,0,3,2,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,1.1283999999999998,2,0.28,0.8,0.02,0.63,0.65,0.88,0.36,0.28,0.3,0.75,0.85,0.55,0.46,0.63,0.32,0.67,0.37,0.39,0.39,0.4,0.36,0.96,0.92,0.43
0xdqd1owou,27.1844,18/09/2024,00:04:32,opera,False,1918.0,955.0,Russian,yana1,30.0,Female,Germany,Russian,2.9399666666666664,1,0,1,1,2,0,1,0,3,2,1,1,0,0,0,2,1,0,1,2,1,0,0,0,1,0,1.413428333334128,2,0.24,0.85,0.26,0.72,0.93,1.0,0.25,0.16,0.0,0.64,0.04,0.96,0.0,0.68,0.24,0.83,0.25,0.65,0.2,0.27,0.09,0.0,0.39,0.68
4v5wnz20ou,26.049783333333334,14/09/2024,22:20:47,chrome,False,1440.0,778.0,Russian,yana1,32.0,Female,Russia,Russian,2.7800000000000002,2,2,2,3,0,2,2,2,3,3,3,1,3,3,0,2,2,0,3,1,0,1,0,3,3,0,2.9357416666666665,1,0.0,0.6,0.0,0.99,0.99,0.76,0.5,0.22,0.71,0.32,0.13,0.64,0.05,0.72,0.01,1.0,0.0,0.0,0.49,0.0,0.42,1.0,0.12,0.0
d1p3uuu95n,21.046833333333332,14/09/2024,20:34:29,safari,False,1470.0,747.0,Russian,yana1,27.0,Male,Georgia,Ukrainian,3.1942166666666667,1,2,3,1,2,2,2,2,1,1,1,0,0,2,0,2,1,1,0,2,0,1,3,3,2,2,1.93285,2,0.25,0.69,0.06,0.82,0.9,0.5,0.48,0.36,0.64,0.7,1.0,0.29,0.12,0.97,0.32,0.62,0.19,0.0,0.32,0.57,0.37,1.0,0.29,0.0
zd9alcs3qq,27.229699999999998,14/09/2024,13:50:34,chrome,False,1920.0,1073.0,Russian,yana1,31.0,Male,швеция,Russian,8.712216666666666,1,0,2,0,0,0,0,2,2,2,0,2,0,0,2,2,0,0,2,1,1,0,0,0,0,0,2.683420000000795,2,0.8,0.64,0.8,0.28,0.41,0.66,0.32,0.29,0.64,0.81,0.24,0.59,0.31,0.77,0.76,0.74,0.53,0.58,0.74,0.36,0.66,0.27,0.76,0.28
dbbhtxx8gc,39.600033333333336,12/09/2024,21:24:30,chrome,False,1512.0,863.0,Russian,yana2,27.0,Male,Serbia,Russian,2.257966666666667,1,2,3,3,2,2,3,1,3,1,3,2,0,0,0,2,1,0,1,3,0,1,1,0,2,0,2.010266666666667,2,0.67,0.53,0.0,0.12,1.0,0.74,0.4,0.55,0.26,0.81,0.81,0.54,0.1,0.36,0.71,0.7,0.34,1.0,0.65,0.46,0.12,1.0,0.57,1.0
ftnc1a1ppz,22.554399999999998,12/08/2024,13:23:08,chrome,False,1536.0,730.0,Russian,yana1,36.0,Female,Russia,Russian,2.0260000000000002,2,0,1,1,0,0,2,2,2,1,1,2,1,0,0,1,0,0,1,2,1,2,1,1,2,0,1.8354933333357173,1,0.33,1.0,0.24,0.69,1.0,1.0,0.6,0.08,0.1,0.61,0.69,0.68,0.05,1.0,0.6,0.37,0.34,0.21,0.06,0.38,0.1,0.42,0.6,0.4
9xh21js8u8,37.267050000000005,07/08/2024,14:00:26,opera,False,1226.0,570.0,Russian,yana1,38.0,Male,Russia,Russian,6.89045,1,2,1,2,1,0,0,3,2,2,2,2,3,2,1,1,3,1,2,2,1,3,2,1,2,2,5.688878333334128,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.31,0.28,0.27,0.63
qk5u4vrmgr,29.674033333333334,06/08/2024,20:15:30,safari,False,1512.0,819.0,Russian,yana1,31.0,Female,Russia,Russian,2.764883333333333,1,2,2,2,0,1,1,2,1,1,0,1,1,0,1,2,0,2,0,2,2,2,2,0,0,2,2.310483333333333,2,0.63,0.66,0.42,0.46,0.75,0.55,0.31,0.33,0.6,0.78,0.78,0.58,0.22,0.63,0.64,0.42,0.6,0.2,0.22,0.38,0.32,0.6,0.64,0.65
gujx6845c8,22.33655,30/07/2024,03:19:12,firefox,False,1536.0,730.0,Russian,yana1,46.0,Female,Russia,Russian,1.4628333333333332,2,0,1,3,3,1,3,3,3,3,1,2,1,3,0,3,2,2,2,0,1,2,1,0,0,1,2.1073166666666667,1,0.0,0.54,0.0,0.71,0.71,1.0,0.51,0.48,0.23,0.23,0.77,0.48,0.12,0.41,0.0,1.0,0.0,0.0,0.52,0.32,0.0,0.6,0.0,0.0
tgp13kv9tr,17.73165,21/07/2024,18:16:36,safari,False,1626.0,843.0,Russian,yana1,,,,,1.2076500000000001,2,2,2,2,1,1,1,1,2,2,1,1,2,1,0,2,1,1,1,1,1,2,1,0,1,1,2.253816666666667,1,0.26,0.71,0.59,0.72,0.31,0.69,0.32,0.64,0.36,0.66,0.4,0.39,0.58,0.7,0.35,0.3,0.62,0.34,0.65,0.7,0.38,0.52,0.64,0.39
wdxqljw4oj,559.6899666666667,21/07/2024,15:49:23,chrome,False,1920.0,953.0,Russian,yana1,29.0,Female,Russia,Russian,2.2992500000000002,2,0,1,1,2,1,1,2,3,2,3,2,1,0,0,2,0,1,1,3,0,2,1,3,2,1,1.7007616666674614,1,0.77,0.77,0.21,0.93,0.98,0.48,0.1,0.48,0.19,0.57,0.75,0.61,0.0,0.6,0.26,0.89,0.05,0.56,0.07,0.13,0.2,0.59,0.94,0.53
mefehhvjwq,22.797233333333335,20/07/2024,14:13:24,edge-chromium,False,1872.0,932.0,Russian,yana2,22.0,Female,Russia,German,2.4345,1,1,1,2,1,0,0,2,1,1,2,2,2,1,1,1,1,2,1,3,2,2,2,3,2,2,1.4150399999996026,2,0.61,0.66,0.29,0.34,0.9,0.88,0.27,0.56,0.37,0.68,0.67,0.84,0.83,0.81,0.81,0.54,0.67,0.37,0.3,0.66,0.28,0.38,0.72,0.63
0sq6lofj2q,25.090116666666667,20/07/2024,09:15:01,chrome,False,1920.0,1065.0,Russian,yana1,36.0,Male,Germany,European,2.4434666666666667,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,1,2,1,0,0,2,4.1651766666670635,1,0.25,0.82,0.63,0.12,0.85,0.62,0.77,0.61,0.16,0.52,0.44,0.43,0.26,0.76,0.71,0.31,0.6,0.0,0.29,0.41,0.16,0.0,0.41,0.0
su0678vnyn,23.999950000000002,19/07/2024,15:44:41,safari,False,1280.0,720.0,Russian,yana1,34.0,Male,Georgia,Russian,2.9568333333333334,1,1,0,1,2,0,0,1,2,2,1,2,0,1,0,2,0,2,0,2,2,2,0,3,0,0,1.6861666666666686,2,0.81,0.67,0.94,0.65,0.66,0.69,0.21,0.63,0.84,0.7,0.75,0.67,0.15,0.36,0.38,0.4,0.71,0.56,0.16,0.19,0.78,0.93,0.99,0.7
s9q5m734wo,25.127299999999998,19/07/2024,09:34:07,chrome,False,1920.0,963.0,Russian,yana1,32.0,Male,Russia,Russian,3.172566666666667,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,3,0,0,0,3,2.2368333333333337,1,1.0,0.84,0.27,0.0,1.0,0.0,0.0,0.0,0.19,0.18,0.74,0.25,1.0,0.33,0.8,0.0,0.77,0.0,0.0,0.0,0.24,1.0,1.0,0.0
6d1axwbspy,29.349,18/07/2024,23:37:12,chrome,False,1440.0,791.0,Russian,yana1,43.0,Male,Russia,Russian,4.3616166666666665,2,2,2,2,0,2,2,1,3,0,2,2,3,2,0,2,1,2,0,2,1,2,2,2,1,1,3.130051666667064,1,0.15,0.87,0.28,0.35,0.82,0.6,0.59,0.56,0.33,0.85,0.85,0.45,0.76,0.9,0.43,0.69,0.55,0.6,0.82,0.83,0.41,0.52,0.45,0.54
